OfficiCardNo	OfficiCardType	status	VehPlate	FreeType	FreeRoadList	Version	StartTime	EndTime	Spare
003558	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003566	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003574	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003582	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003590	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003608	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003616	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003624	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003632	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003640	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003681	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003699	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003707	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003715	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003723	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003731	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003756	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003772	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003780	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003798	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
003806	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
