EnRoadId	EnStationId	ExRoadId	ExStationId	VehType	PassType	PassRoadUniqueId	RoadUniqueIdForBridge	PassBridgeId	Miles	Distance	Version	RoadStdVer	BridgeExtVer	TravelTime	StartTime	Spare1	Spare2	Spare3	Spare4
11	36	49	14	2	1	29	0	0	32.5239	196.0041	13	13	13	0	2016-04-28 00:00:00				
11	36	49	14	2	1	63	0	0	23.0632	196.0041	13	13	13	0	2016-04-28 00:00:00				
12	80	49	14	2	1	3	0	0	59.79	229.442	13	13	13	0	2016-04-28 00:00:00				
12	80	49	14	2	1	5	0	0	12.088	229.442	13	13	13	0	2016-04-28 00:00:00				
12	80	49	14	2	1	9	0	0	40.742	229.442	13	13	13	0	2016-04-28 00:00:00				
12	80	49	14	2	1	21	0	0	23.164	229.442	13	13	13	0	2016-04-28 00:00:00				
12	80	49	14	2	1	27	0	0	73.083	229.442	13	13	13	0	2016-04-28 00:00:00				
12	80	49	14	2	1	29	0	0	9.227	229.442	13	13	13	0	2016-04-28 00:00:00				
12	80	49	14	2	1	43	0	0	11.348	229.442	13	13	13	0	2016-04-28 00:00:00				
12	80	49	14	2	2	0	3	1	1	229.442	13	13	13	0	2016-04-28 00:00:00				
12	80	49	14	2	2	0	9	8	1	229.442	13	13	13	0	2016-04-28 00:00:00				
12	81	49	14	2	1	3	0	0	59.79	248.464	13	13	13	0	2016-04-28 00:00:00				
12	81	49	14	2	1	5	0	0	31.11	248.464	13	13	13	0	2016-04-28 00:00:00				
12	81	49	14	2	1	9	0	0	40.742	248.464	13	13	13	0	2016-04-28 00:00:00				
12	81	49	14	2	1	21	0	0	23.164	248.464	13	13	13	0	2016-04-28 00:00:00				
12	81	49	14	2	1	27	0	0	73.083	248.464	13	13	13	0	2016-04-28 00:00:00				
12	81	49	14	2	1	29	0	0	9.227	248.464	13	13	13	0	2016-04-28 00:00:00				
12	81	49	14	2	1	43	0	0	11.348	248.464	13	13	13	0	2016-04-28 00:00:00				
12	81	49	14	2	2	0	3	1	1	248.464	13	13	13	0	2016-04-28 00:00:00				
12	81	49	14	2	2	0	9	8	1	248.464	13	13	13	0	2016-04-28 00:00:00				
12	82	49	14	2	1	3	0	0	59.79	261.72	13	13	13	0	2016-04-28 00:00:00				
12	82	49	14	2	1	5	0	0	44.366	261.72	13	13	13	0	2016-04-28 00:00:00				
12	82	49	14	2	1	9	0	0	40.742	261.72	13	13	13	0	2016-04-28 00:00:00				
12	82	49	14	2	1	21	0	0	23.164	261.72	13	13	13	0	2016-04-28 00:00:00				
12	82	49	14	2	1	27	0	0	73.083	261.72	13	13	13	0	2016-04-28 00:00:00				
12	82	49	14	2	1	29	0	0	9.227	261.72	13	13	13	0	2016-04-28 00:00:00				
12	82	49	14	2	1	43	0	0	11.348	261.72	13	13	13	0	2016-04-28 00:00:00				
12	82	49	14	2	2	0	3	1	1	261.72	13	13	13	0	2016-04-28 00:00:00				
12	82	49	14	2	2	0	9	8	1	261.72	13	13	13	0	2016-04-28 00:00:00				
12	83	49	14	2	1	3	0	0	59.79	283.9	13	13	13	0	2016-04-28 00:00:00				
12	83	49	14	2	1	5	0	0	66.546	283.9	13	13	13	0	2016-04-28 00:00:00				
12	83	49	14	2	1	9	0	0	40.742	283.9	13	13	13	0	2016-04-28 00:00:00				
12	83	49	14	2	1	21	0	0	23.164	283.9	13	13	13	0	2016-04-28 00:00:00				
12	83	49	14	2	1	27	0	0	73.083	283.9	13	13	13	0	2016-04-28 00:00:00				
12	83	49	14	2	1	29	0	0	9.227	283.9	13	13	13	0	2016-04-28 00:00:00				
12	83	49	14	2	1	43	0	0	11.348	283.9	13	13	13	0	2016-04-28 00:00:00				
12	83	49	14	2	2	0	3	1	1	283.9	13	13	13	0	2016-04-28 00:00:00				
12	83	49	14	2	2	0	9	8	1	283.9	13	13	13	0	2016-04-28 00:00:00				
12	84	49	14	2	1	3	0	0	59.79	304.77	13	13	13	0	2016-04-28 00:00:00				
12	84	49	14	2	1	5	0	0	87.416	304.77	13	13	13	0	2016-04-28 00:00:00				
12	84	49	14	2	1	9	0	0	40.742	304.77	13	13	13	0	2016-04-28 00:00:00				
12	84	49	14	2	1	21	0	0	23.164	304.77	13	13	13	0	2016-04-28 00:00:00				
12	84	49	14	2	1	27	0	0	73.083	304.77	13	13	13	0	2016-04-28 00:00:00				
12	84	49	14	2	1	29	0	0	9.227	304.77	13	13	13	0	2016-04-28 00:00:00				
12	84	49	14	2	1	43	0	0	11.348	304.77	13	13	13	0	2016-04-28 00:00:00				
12	84	49	14	2	2	0	3	1	1	304.77	13	13	13	0	2016-04-28 00:00:00				
12	84	49	14	2	2	0	9	8	1	304.77	13	13	13	0	2016-04-28 00:00:00				
12	85	49	14	2	1	3	0	0	59.79	314.183	13	13	13	0	2016-04-28 00:00:00				
12	85	49	14	2	1	5	0	0	96.829	314.183	13	13	13	0	2016-04-28 00:00:00				
12	85	49	14	2	1	9	0	0	40.742	314.183	13	13	13	0	2016-04-28 00:00:00				
12	85	49	14	2	1	21	0	0	23.164	314.183	13	13	13	0	2016-04-28 00:00:00				
12	85	49	14	2	1	27	0	0	73.083	314.183	13	13	13	0	2016-04-28 00:00:00				
12	85	49	14	2	1	29	0	0	9.227	314.183	13	13	13	0	2016-04-28 00:00:00				
12	85	49	14	2	1	43	0	0	11.348	314.183	13	13	13	0	2016-04-28 00:00:00				
12	85	49	14	2	2	0	3	1	1	314.183	13	13	13	0	2016-04-28 00:00:00				
12	85	49	14	2	2	0	9	8	1	314.183	13	13	13	0	2016-04-28 00:00:00				
12	86	49	14	2	1	3	0	0	59.79	325.818	13	13	13	0	2016-04-28 00:00:00				
12	86	49	14	2	1	5	0	0	108.464	325.818	13	13	13	0	2016-04-28 00:00:00				
12	86	49	14	2	1	9	0	0	40.742	325.818	13	13	13	0	2016-04-28 00:00:00				
12	86	49	14	2	1	21	0	0	23.164	325.818	13	13	13	0	2016-04-28 00:00:00				
12	86	49	14	2	1	27	0	0	73.083	325.818	13	13	13	0	2016-04-28 00:00:00				
12	86	49	14	2	1	29	0	0	9.227	325.818	13	13	13	0	2016-04-28 00:00:00				
12	86	49	14	2	1	43	0	0	11.348	325.818	13	13	13	0	2016-04-28 00:00:00				
12	86	49	14	2	2	0	3	1	1	325.818	13	13	13	0	2016-04-28 00:00:00				
12	86	49	14	2	2	0	9	8	1	325.818	13	13	13	0	2016-04-28 00:00:00				
12	87	49	14	2	1	3	0	0	59.79	356.624	13	13	13	0	2016-04-28 00:00:00				
12	87	49	14	2	1	5	0	0	139.27	356.624	13	13	13	0	2016-04-28 00:00:00				
12	87	49	14	2	1	9	0	0	40.742	356.624	13	13	13	0	2016-04-28 00:00:00				
12	87	49	14	2	1	21	0	0	23.164	356.624	13	13	13	0	2016-04-28 00:00:00				
12	87	49	14	2	1	27	0	0	73.083	356.624	13	13	13	0	2016-04-28 00:00:00				
12	87	49	14	2	1	29	0	0	9.227	356.624	13	13	13	0	2016-04-28 00:00:00				
